propertyState,countyCode,Year,totalPremium,totalPolicies
AK,2280.0,2021,15085,23
AK,2280.0,2022,19037,30
AK,2280.0,2023,18378,29
AK,2280.0,2024,18907,31
AK,2290.0,2015,55422,67
AK,2290.0,2016,57825,67
AK,2290.0,2017,66505,74
AK,2290.0,2018,67654,70
AK,2290.0,2019,53342,60
AK,2290.0,2020,54303,60
AK,2290.0,2021,45703,62
AK,2290.0,2022,23585,66
AK,2290.0,2023,29723,71
AK,2290.0,2024,22320,74
AL,1.0,2024,1674,1
AL,1001.0,2015,171742,294
AL,1001.0,2016,179909,307
AL,1001.0,2017,192944,301
AL,1001.0,2018,193728,290
AL,1001.0,2019,206740,285
AL,1001.0,2020,200762,290
AL,1001.0,2021,215964,272
AL,1001.0,2022,229182,270
AL,1001.0,2023,243278,252
AL,1001.0,2024,284609,249
AL,1003.0,2015,11726494,27039
AL,1003.0,2016,12152045,27082
AL,1003.0,2017,12725791,27205
AL,1003.0,2018,12993842,27215
AL,1003.0,2019,12828839,28009
AL,1003.0,2020,12476550,26853
AL,1003.0,2021,12831239,26759
AL,1003.0,2022,12502444,27316
AL,1003.0,2023,13491463,26713
AL,1003.0,2024,14952444,26215
AL,1005.0,2015,29205,46
AL,1005.0,2016,28573,45
AL,1005.0,2017,30813,48
AL,1005.0,2018,33735,50
AL,1005.0,2019,35176,45
AL,1005.0,2020,42997,49
AL,1005.0,2021,39844,41
AL,1005.0,2022,50525,47
AL,1005.0,2023,55683,48
AL,1005.0,2024,47384,39
AL,1007.0,2015,30170,39
AL,1007.0,2016,29055,36
AL,1007.0,2017,29343,36
AL,1007.0,2018,34479,29
AL,1007.0,2019,36578,29
AL,1007.0,2020,45234,32
AL,1007.0,2021,45875,28
AL,1007.0,2022,42320,30
AL,1007.0,2023,29854,20
AL,1007.0,2024,37227,20
AL,1009.0,2015,52978,56
AL,1009.0,2016,62315,63
AL,1009.0,2017,58404,59
AL,1009.0,2018,67371,66
AL,1009.0,2019,47449,56
AL,1009.0,2020,33295,44
AL,1009.0,2021,29081,40
AL,1009.0,2022,44986,42
AL,1009.0,2023,50708,42
AL,1009.0,2024,67214,43
AL,1011.0,2015,6884,13
AL,1011.0,2016,7651,15
AL,1011.0,2017,4778,12
AL,1011.0,2018,5281,12
AL,1011.0,2019,6203,13
AL,1011.0,2020,6158,12
AL,1011.0,2021,7604,13
AL,1011.0,2022,7063,12
AL,1011.0,2023,8130,12
AL,1011.0,2024,9250,12
AL,1013.0,2015,8681,10
AL,1013.0,2016,10086,11
AL,1013.0,2017,9080,11
AL,1013.0,2018,11657,12
AL,1013.0,2019,5068,6
AL,1013.0,2020,4946,5
AL,1013.0,2021,3969,4
AL,1013.0,2022,1783,4
AL,1013.0,2023,1863,4
AL,1013.0,2024,873,2
AL,1015.0,2015,514408,584
AL,1015.0,2016,517589,662
AL,1015.0,2017,453594,575
AL,1015.0,2018,505413,560
AL,1015.0,2019,484293,523
AL,1015.0,2020,502765,502
AL,1015.0,2021,575663,490
AL,1015.0,2022,513397,466
AL,1015.0,2023,532451,440
AL,1015.0,2024,550902,422
AL,1017.0,2015,50748,51
AL,1017.0,2016,58341,56
AL,1017.0,2017,59005,55
AL,1017.0,2018,61572,56
AL,1017.0,2019,66006,53
AL,1017.0,2020,54947,51
AL,1017.0,2021,74185,49
AL,1017.0,2022,47277,43
AL,1017.0,2023,45357,39
AL,1017.0,2024,44162,34
AL,1019.0,2015,100360,194
AL,1019.0,2016,106271,195
AL,1019.0,2017,110003,196
AL,1019.0,2018,108735,191
AL,1019.0,2019,116692,207
AL,1019.0,2020,124478,216
AL,1019.0,2021,142976,225
AL,1019.0,2022,156664,219
AL,1019.0,2023,164905,211
AL,1019.0,2024,207526,217
AL,1021.0,2015,28955,48
AL,1021.0,2016,32791,51
AL,1021.0,2017,31289,50
AL,1021.0,2018,38890,52
AL,1021.0,2019,40818,55
AL,1021.0,2020,35257,50
AL,1021.0,2021,32800,50
AL,1021.0,2022,48950,51
AL,1021.0,2023,46621,48
AL,1021.0,2024,42374,42
AL,1023.0,2015,37266,61
AL,1023.0,2016,35459,53
AL,1023.0,2017,32954,47
AL,1023.0,2018,30872,45
AL,1023.0,2019,28917,40
AL,1023.0,2020,26386,36
AL,1023.0,2021,38790,44
AL,1023.0,2022,37569,44
AL,1023.0,2023,31055,39
AL,1023.0,2024,34038,35
AL,1025.0,2015,31692,47
AL,1025.0,2016,28585,43
AL,1025.0,2017,26170,42
AL,1025.0,2018,35238,45
AL,1025.0,2019,33835,41
AL,1025.0,2020,41295,43
AL,1025.0,2021,48513,46
AL,1025.0,2022,38376,45
AL,1025.0,2023,35573,38
AL,1025.0,2024,37872,35
AL,1027.0,2015,2503,1
AL,1027.0,2016,2626,1
AL,1027.0,2017,2764,1
AL,1027.0,2018,2914,1
AL,1027.0,2019,3120,1
AL,1027.0,2020,3279,1
AL,1027.0,2021,3526,1
AL,1027.0,2022,2563,1
AL,1029.0,2015,3645,7
AL,1029.0,2016,1875,5
AL,1029.0,2017,4592,7
AL,1029.0,2018,4561,6
AL,1029.0,2019,1385,4
AL,1029.0,2020,3690,5
AL,1029.0,2021,2354,5
AL,1029.0,2022,4473,5
AL,1029.0,2023,4556,4
AL,1029.0,2024,6102,5
AL,1031.0,2015,246065,382
AL,1031.0,2016,233122,355
AL,1031.0,2017,230126,345
AL,1031.0,2018,208448,306
AL,1031.0,2019,206226,284
AL,1031.0,2020,208096,275
AL,1031.0,2021,219322,265
AL,1031.0,2022,195854,248
AL,1031.0,2023,182014,226
AL,1031.0,2024,198614,223
AL,1033.0,2015,132970,167
AL,1033.0,2016,125394,166
AL,1033.0,2017,122837,153
AL,1033.0,2018,125817,149
AL,1033.0,2019,149607,161
AL,1033.0,2020,137603,153
AL,1033.0,2021,134667,140
AL,1033.0,2022,125278,145
AL,1033.0,2023,134137,135
AL,1033.0,2024,137591,127
AL,1035.0,2015,560,1
AL,1035.0,2016,601,1
AL,1035.0,2017,930,2
AL,1035.0,2018,1729,3
AL,1035.0,2019,1289,3
AL,1035.0,2020,1753,4
AL,1035.0,2021,1896,4
AL,1035.0,2022,2795,4
AL,1035.0,2023,2282,3
AL,1035.0,2024,2383,3
AL,1037.0,2015,31108,36
AL,1037.0,2016,20066,25
AL,1037.0,2017,19874,28
AL,1037.0,2018,21276,30
AL,1037.0,2019,26976,26
AL,1037.0,2020,17027,22
AL,1037.0,2021,15838,20
AL,1037.0,2022,24200,23
AL,1037.0,2023,20868,18
AL,1037.0,2024,20238,18
AL,1039.0,2015,112674,162
AL,1039.0,2016,111913,155
AL,1039.0,2017,128414,156
AL,1039.0,2018,123607,153
AL,1039.0,2019,120703,138
AL,1039.0,2020,123706,151
AL,1039.0,2021,116396,136
AL,1039.0,2022,119933,129
AL,1039.0,2023,132701,128
AL,1039.0,2024,132545,110
AL,1041.0,2015,4232,8
AL,1041.0,2016,2258,6
AL,1041.0,2017,3764,9
AL,1041.0,2018,4649,8
AL,1041.0,2019,2666,6
AL,1041.0,2020,3258,7
AL,1041.0,2021,2934,5
AL,1041.0,2022,4350,7
AL,1041.0,2023,2012,4
AL,1041.0,2024,2791,5
AL,1043.0,2015,57210,113
AL,1043.0,2016,65984,125
AL,1043.0,2017,72646,121
AL,1043.0,2018,67030,108
AL,1043.0,2019,83472,107
AL,1043.0,2020,79697,100
AL,1043.0,2021,94340,102
AL,1043.0,2022,88576,103
AL,1043.0,2023,78404,89
AL,1043.0,2024,82576,89
AL,1045.0,2015,57647,123
AL,1045.0,2016,55418,123
AL,1045.0,2017,56936,130
AL,1045.0,2018,54703,113
AL,1045.0,2019,50429,100
AL,1045.0,2020,54783,101
AL,1045.0,2021,57033,94
AL,1045.0,2022,49250,84
AL,1045.0,2023,53658,80
AL,1045.0,2024,54129,73
AL,1047.0,2015,292064,406
AL,1047.0,2016,304042,412
AL,1047.0,2017,317875,379
AL,1047.0,2018,329826,342
