State,County,claim_counts,claim_loss,test_loss,p,mu,phi
AK,2220.0,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20130.27, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.9540306367577887,559.1741722222222,209.49178595749697
AK,2261.0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 12901.34, 0.0, 0.0, 0.0, 0.0, 12362.24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9596.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33170.48, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8316900345251437,1889.7344472222223,95.18172798848171
AK,2270.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13411.25, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.913735646145326,372.534725,347.7292074514806
AK,2280.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.0,0.0
AK,2290.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 0, 0, 1, 0, 33]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 280345.97, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42684.61, 0.0, 0.0, 0.0, 0.0, 3015643.54]","[2825.34, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.9544574395517673,92740.94778611112,19.862436352007737
AL,1001.0,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 0, 0, 0, 2, 0, 1, 0, 3, 12, 0, 0, 0, 2, 1, 0, 0, 0, 12, 0, 1, 1, 1]","[0.0, 38795.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 464945.49, 4503.8, 0.0, 0.0, 0.0, 3462.03, 0.0, 0.0, 0.0, 48407.19, 294801.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 252708.52, 0.0, 0.0, 0.0, 43792.16]","[0.0, 24464.31, 0.0, 164282.27, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.9252064852181539,31983.762236111113,17.72254392120381
AL,1003.0,"[36, 973, 17, 19, 1, 41, 3, 423, 0, 23, 6, 27, 37, 15, 7, 3, 8, 1425, 45, 555, 2570, 11, 2, 4, 612, 22, 5411, 2592, 3, 39, 256, 47, 5, 7, 95, 18]","[153488.54, 14339054.09, 75975.65000000001, 145205.56, 0.0, 89291.9, 15080.53, 1463637.0, 0.0, 30556.41, 2542.65, 241172.08, 233977.23, 67162.43, 11239.98, 7144.15, 29948.78, 14980221.78, 454236.86, 5622135.71, 36170606.3, 61331.51, 7585.99, 13340.77, 3148125.26, 273376.86, 331777173.05, 75850216.81, 13310.05, 614911.59, 1861341.32, 674483.38, 1964.96, 0.0, 797355.8800000001, 124108.06]","[44575151.870000005, 34670.69, 81309.48000000001, 1214607.81, 35930.600000000006, 23650.99, 121741280.47, 352981.46, 0.0, 153968.99]",1.9949473586257929,13593091.753338888,0.5040707097089756
AL,1005.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25511.7, 0.0, 0.0, 0.0, 12683.74, 604.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10305.78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 628947.71, 0.0, 0.0, 0.0, 0.0, 16797.8, 0.0, 0.0, 0.0]",1.8646576457031856,1364.0338916666667,29.439616606478243
AL,1007.0,"[0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0.0, 3935.0, 0.0, 0.0, 0.0, 5175.45, 0.0, 19433.92, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2651.29, 0.0, 0.0, 1703.85, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.8671075791016207,913.8752833333334,83.78991176532547
AL,1009.0,"[0, 1, 0, 1, 1, 0, 1, 0, 0, 3, 1, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 29000.0, 0.0, 0.0, 1950.0, 0.0, 0.0, 0.0, 0.0, 46592.380000000005, 10206.08, 0.0, 26907.63, 0.0, 0.0, 0.0, 0.0, 22404.77, 0.0, 12450.08, 4344.72, 9052.31, 3510.22, 9501.92, 0.0, 0.0, 0.0, 55732.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 526760.18, 0.0, 0.0, 0.0, 0.0, 25444.22, 15070.14, 0.0, 0.0]",1.8060120469611183,6434.801672222223,56.502176339054365
AL,1011.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0.0, 0.0, 653.95, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 61460.69, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.684855056840997,1725.4066666666663,398.8052640123954
AL,1013.0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 9900.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0000171300560303,274.99999999999994,4949.608542745219
AL,1015.0,"[0, 16, 2, 0, 0, 0, 1, 2, 0, 0, 0, 1, 11, 2, 3, 3, 2, 12, 2, 4, 1, 2, 1, 0, 2, 14, 1, 1, 1, 1, 2, 3, 2, 4, 0, 2]","[0.0, 37301.41, 1981.49, 0.0, 0.0, 0.0, 0.0, 3100.0, 0.0, 0.0, 0.0, 0.0, 46482.04, 1182.32, 2535.79, 6877.650000000001, 5652.89, 102110.03, 0.0, 3086.8, 1329.91, 7661.03, 0.0, 0.0, 0.0, 24745.05, 5861.0, 0.0, 112774.44, 3925.55, 0.0, 12415.93, 0.0, 25238.47, 0.0, 10540.38]","[0.0, 17209.99, 30119.93, 0.0, 0.0, 41609.89, 2609.18, 28521.53, 52724.37, 0.0]",1.9253191555054188,11522.2828,9.889773200024953
AL,1017.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 650952.7200000001, 0.0, 17228.97, 0.0, 0.0, 0.0, 97006.44, 0.0, 0.0, 0.0, 0.0]","[0.0, 87436.61, 0.0, 0.0, 0.0, 0.0, 22063.29, 0.0, 0.0, 46779.69]",1.8861033165237675,21255.225836111113,70.233996351337
